size,width,length,room,area,ward,toilet,floor,house type,street,price
44.0,4.0,11.0,1.0,117,9502.0,1.0,1.0,3.0,1844,1950000000
49.199999999999996,4.1,12.0,3.0,107,9230.0,2.0,1.0,3.0,1258,3350000000
134.9,5.0,27.0,3.0,117,9502.0,1.0,1.0,1.0,1491,6200000000
54.0,4.5,12.0,4.0,108,9464.0,5.0,4.0,1.0,143,7820000000
36.3,3.64,8.8,2.0,112,9313.0,2.0,1.0,3.0,867,3600000000
45.0,4.1,11.49,2.0,113,9324.0,1.0,2.0,3.0,1000,2950000000
80.0,4.8,18.0,6.0,101,9439.0,4.0,4.0,1.0,203,12800000000
45.0,3.89,12.839999999999998,5.0,109,9284.0,3.0,4.0,3.0,1724,5800000000
48.0,4.0,12.0,2.0,108,9457.0,2.0,1.0,3.0,1599,3150000000
55.0,4.5,11.4,2.0,114,9238.0,2.0,1.0,3.0,611,1450000000
38.0,4.312,9.06,2.0,103,9454.0,2.0,1.0,1.0,1035,1650000000
43.0,4.0,10.8,6.0,109,9285.0,7.0,5.0,3.0,875,7300000000
60.0,4.0,15.0,5.0,117,9507.0,5.0,4.0,1.0,1011,3250000000
94.0,4.6,19.0,6.0,105,9369.0,6.0,3.0,3.0,1748,15800000000
40.0,3.96,10.2,2.0,107,9227.0,2.0,1.0,3.0,1340,1450000000
60.0,5.0,12.0,3.0,107,9229.0,2.0,1.0,3.0,709,1650000000
100.0,5.0,20.0,3.0,107,9227.0,3.0,1.0,3.0,1629,5300000000
32.9,6.04,6.459999999999999,4.0,111,9326.0,3.0,4.0,3.0,1307,4000000000
50.0,5.0,10.0,2.0,110,9267.0,2.0,1.0,1.0,1150,4200000000
18.0,4.0,5.0,2.0,114,9244.0,1.0,1.0,3.0,93,800000000
80.0,4.48,18.78,3.0,107,9229.0,3.0,2.0,3.0,973,5400000000
42.0,4.0,10.5,5.0,112,9313.0,4.0,5.0,3.0,1489,5900000000
35.0,3.5,10.0,4.0,108,9459.0,3.0,4.0,3.0,1000,2400000000
52.0,4.0,13.0,4.0,108,9465.0,3.0,3.0,1.0,580,7200000000
48.0,4.0,12.0,2.0,108,9457.0,2.0,5.0,3.0,597,2950000000
64.0,4.0,16.0,3.0,107,9229.0,2.0,2.0,3.0,709,3250000000
56.0,4.0,14.0,2.0,104,9254.0,2.0,1.0,1.0,726,1370000000
50.0,4.0,13.0,2.0,101,9432.0,2.0,2.0,1.0,203,7250000000
95.0,5.0,19.0,2.0,115,9523.0,2.0,1.0,1.0,1102,1200000000
50.0,4.6,11.3,2.0,114,9244.0,2.0,1.0,3.0,569,2250000000
50.0,4.48,11.4,2.0,104,9256.0,1.0,1.0,3.0,1822,950000000
79.0,5.0,15.0,2.0,107,9230.0,2.0,1.0,1.0,5,4390000000
40.0,4.0,10.0,1.0,101,9430.0,1.0,2.0,3.0,547,1920000000
92.0,4.0,23.0,3.0,108,9459.0,3.0,2.0,1.0,215,10500000000
61.0,4.64,13.8,4.0,109,9279.0,4.0,3.0,3.0,1796,9500000000
45.0,4.14,11.6,2.0,107,9227.0,1.0,1.0,3.0,1629,1450000000
